Domain,Question,,,,,,,,,,,,Answer
Project Management,What is a project budget?,A project budget is an estimate of the total costs required to complete the project, including resources, materials, and contingencies.,,,,,,,,A project budget is an estimate of the total costs required to complete the project  including resources  materials  and contingencies.
Project Management,What is the RACI matrix?,The RACI matrix is a responsibility assignment chart that defines roles and responsibilities as Responsible, Accountable, Consulted, and Informed.,,,,,,,,The RACI matrix is a responsibility assignment chart that defines roles and responsibilities as Responsible  Accountable  Consulted  and Informed.
Project Management,What is the role of communication in project management?,Effective communication ensures that stakeholders are informed, aligned, and engaged throughout the project.,,,,,,,,,Effective communication ensures that stakeholders are informed  aligned  and engaged throughout the project.
Project Management,What is the purpose of project documentation?,Project documentation provides a record of plans, progress, and decisions, ensuring clarity and accountability.,,,,,,,,Project documentation provides a record of plans  progress  and decisions  ensuring clarity and accountability.
Project Management,What is the difference between a program and a project?,A program is a collection of related projects managed in a coordinated way, while a project is a temporary endeavor with specific goals.,,,,,,,,,,A program is a collection of related projects managed in a coordinated way  while a project is a temporary endeavor with specific goals.
Project Management,What is project scope?,Project scope defines the work required to deliver the product or service, including objectives, deliverables, and boundaries.,,,,,,,,Project scope defines the work required to deliver the product or service  including objectives  deliverables  and boundaries.
Project Management,What is a sprint in Agile?,A sprint is a time-boxed iteration, typically 2-4 weeks long, during which a specific set of tasks is completed in Agile methodologies.,,,,,,,,,A sprint is a time-boxed iteration  typically 2-4 weeks long  during which a specific set of tasks is completed in Agile methodologies.
Project Management,What is the role of a project sponsor?,A project sponsor provides support, funding, and guidance to ensure the project’s success.,,,,,,,,,A project sponsor provides support  funding  and guidance to ensure the project’s success.
Project Management,What is a feasibility study?,A feasibility study evaluates the viability of a project, considering technical, financial, and operational factors.,,,,,,,,A feasibility study evaluates the viability of a project  considering technical  financial  and operational factors.
Project Management,What is a RAID log?,A RAID log tracks Risks, Assumptions, Issues, and Dependencies throughout the project.,,,,,,,,A RAID log tracks Risks  Assumptions  Issues  and Dependencies throughout the project.
Project Management,What is project monitoring and control?,Project monitoring and control involve tracking progress, managing changes, and ensuring the project stays on schedule and within budget.,,,,,,,,,Project monitoring and control involve tracking progress  managing changes  and ensuring the project stays on schedule and within budget.
Project Management,What is a project charter?,A project charter formally authorizes the project and provides an overview of objectives, stakeholders, and constraints.,,,,,,,,,A project charter formally authorizes the project and provides an overview of objectives  stakeholders  and constraints.
Project Management,What is a Kanban board?,A Kanban board is a visual tool that represents tasks, their status, and workflows to manage project progress effectively.,,,,,,,,,A Kanban board is a visual tool that represents tasks  their status  and workflows to manage project progress effectively.
Project Management,What is a stakeholder analysis?,Stakeholder analysis identifies and evaluates stakeholders’ needs, influence, and impact on the project.,,,,,,,,,Stakeholder analysis identifies and evaluates stakeholders’ needs  influence  and impact on the project.
Project Management,What is the purpose of project closure?,Project closure ensures that all tasks are completed, deliverables are accepted, and lessons learned are documented.,,,,,,,,,Project closure ensures that all tasks are completed  deliverables are accepted  and lessons learned are documented.
Project Management,What is time tracking in project management?,Time tracking records the time spent on tasks to monitor progress, manage resources, and ensure deadlines are met.,,,,,,,,,Time tracking records the time spent on tasks to monitor progress  manage resources  and ensure deadlines are met.
Project Management,What is continuous improvement in projects?,Continuous improvement focuses on enhancing processes, efficiency, and quality throughout the project lifecycle.,,,,,,,,,Continuous improvement focuses on enhancing processes  efficiency  and quality throughout the project lifecycle.
Project Management,What is a lessons learned document?,A lessons learned document captures insights and experiences from the project to improve future performance.,,,,,,,,,,,A lessons learned document captures insights and experiences from the project to improve future performance.
Project Management,What is the role of team building in project management?,Team building fosters collaboration, trust, and communication, ensuring effective project execution.,,,,,,,,Team building fosters collaboration  trust  and communication  ensuring effective project execution.
Project Management,What is the PMI?,PMI (Project Management Institute) is a global organization that offers certifications and resources for project management professionals.,,,,,,,,,,,PMI (Project Management Institute) is a global organization that offers certifications and resources for project management professionals.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
